io_uring_register(fd=307, opcode=0x1, arg=0x7f39777d0000, nr_args=2778) = -1 (Operation not supported)
io_uring_register(fd=307, opcode=0x1, arg=0x1, nr_args=22) = -1 (Operation not supported)
io_uring_register(fd=409, opcode=0x1, arg=0x8, nr_args=-5) = -1 (Operation not supported)
io_uring_register(fd=409, opcode=0x1, arg=0x4, nr_args=0x4ace3779388b9858) = -1 (Operation not supported)
io_uring_register(fd=409, opcode=0x1, arg=0x7f3977bd0000, nr_args=-5) = -1 (Operation not supported)
io_uring_register(fd=409, opcode=0x1, arg=0x7f3977ed0000, nr_args=0x48014c80) = -1 (Operation not supported)
io_uring_register(fd=30, opcode=0x1, arg=0x7f39777cc000, nr_args=0xcccccccc) = -1 (Operation not supported)
io_uring_register(fd=30, opcode=0x1, arg=0x0, nr_args=0x682027d165122002) = -1 (Operation not supported)
io_uring_register(fd=30, opcode=0x1, arg=0x8, nr_args=0x5170005000482) = -1 (Operation not supported)
io_uring_register(fd=30, opcode=0x1, arg=0x7f3977fd0000, nr_args=0x8e8e) = -1 (Operation not supported)
io_uring_register(fd=30, opcode=0x1, arg=0x7f39779d0000, nr_args=16384) = -1 (Operation not supported)
io_uring_register(fd=244, opcode=0x1, arg=0x7f3977fd0000, nr_args=36) = -1 (Operation not supported)
io_uring_register(fd=244, opcode=0x1, arg=0x7f3977ed0000, nr_args=0x9c2600cc000) = -1 (Operation not supported)
io_uring_register(fd=244, opcode=0x1, arg=0x7f39779d0000, nr_args=0x79797979) = -1 (Operation not supported)
io_uring_register(fd=244, opcode=0x1, arg=0x4, nr_args=0xffffe000) = -1 (Operation not supported)
io_uring_register(fd=244, opcode=0x1, arg=0x0, nr_args=-3) = -1 (Operation not supported)
io_uring_register(fd=244, opcode=0x1, arg=0x0, nr_args=0x7bb7eab68bb3eef) = -1 (Operation not supported)
io_uring_register(fd=10, opcode=0x1, arg=0x0, nr_args=255) = -1 (Operation not supported)
io_uring_register(fd=10, opcode=0x1, arg=0x0, nr_args=0) = -1 (Operation not supported)
io_uring_register(fd=10, opcode=0x1, arg=0x0, nr_args=0x893a2644afb442) = -1 (Operation not supported)
io_uring_register(fd=10, opcode=0x1, arg=0x1, nr_args=2048) = -1 (Operation not supported)
io_uring_register(fd=10, opcode=0x1, arg=0x1, nr_args=0x1000000) = -1 (Operation not supported)
io_uring_register(fd=323, opcode=0x1, arg=0x7f3977dd0000, nr_args=-10) = -1 (Operation not supported)
