fsetxattr(fd=290, name=0x7fe8fddfa000, value=0x7fe8fddfa000, size=8, flags=0x1) = -1 (Numerical result out of range)
fsetxattr(fd=290, name=0x0, value=0x7fe8fddfa000, size=187, flags=0x1) = -1 (Bad address)
fsetxattr(fd=290, name=0x0, value=0x1, size=0, flags=0x1) = -1 (Bad address)
fsetxattr(fd=290, name=0x7fe8fdffa000, value=0x7fe8fd9f5000, size=1, flags=0x1) = -1 (Numerical result out of range)
fsetxattr(fd=16, name=0x0, value=0x4, size=0, flags=0x1) = -1 (Bad address)
fsetxattr(fd=16, name=0x7fe8fe1fa000, value=0x7fe8fe1fa008, size=4, flags=0x1) = -1 (Numerical result out of range)
fsetxattr(fd=16, name=0x7fe8fe0fa000, value=0x7fe8fe0fa000, size=4096, flags=0x1) = -1 (Numerical result out of range)
fsetxattr(fd=283, name=0x7fe8fe1fa000, value=0x7fe8fddfa000, size=52, flags=0x1) = -1 (Numerical result out of range)
fsetxattr(fd=283, name=0x7fe8fddfa000, value=0x0, size=0x4cc4f, flags=0x1) = -1 (Numerical result out of range)
fsetxattr(fd=283, name=0x7fe8fd9fa000, value=0x7fe8fd9fa008, size=16384, flags=0x1) = -1 (Numerical result out of range)
fsetxattr(fd=409, name=0x1, value=0x9, size=0x38b897, flags=0x1) = -1 (Bad address)
fsetxattr(fd=409, name=0x0, value=0x1, size=8191, flags=0x1) = -1 (Bad address)
fsetxattr(fd=409, name=0x8, value=0x9, size=0, flags=0x1) = -1 (Bad address)
fsetxattr(fd=409, name=0x0, value=0x0, size=4096, flags=0x1) = -1 (Bad address)
fsetxattr(fd=409, name=0x4, value=0x4, size=164, flags=0x1) = -1 (Bad address)
fsetxattr(fd=28, name=0x1, value=0x9, size=4, flags=0x1) = -1 (Bad address)
fsetxattr(fd=28, name=0x1, value=0x5, size=0, flags=0x1) = -1 (Bad address)
fsetxattr(fd=28, name=0x7fe8ffb03000, value=0x7fe8ffb03000, size=4, flags=0x1) = -1 (Numerical result out of range)
fsetxattr(fd=28, name=0x1, value=0x2, size=0x1261f, flags=0x1) = -1 (Bad address)
fsetxattr(fd=28, name=0x8, value=0x7fe8fddfa000, size=98, flags=0x1) = -1 (Bad address)
fsetxattr(fd=28, name=0x0, value=0x7fe8ffb04000, size=4, flags=0x1) = -1 (Bad address)
