msgctl(msqid=0x4408, cmd=0x1, buf=0x4) = -1 (Bad address)
msgctl(msqid=136, cmd=0x1, buf=0x7f2645b43000) = -1 (Invalid argument)
msgctl(msqid=0x4000000080200088, cmd=0x1, buf=0x7f2645b42000) = -1 (Invalid argument)
msgctl(msqid=0xfffd, cmd=0x1, buf=0x0) = -1 (Bad address)
msgctl(msqid=0x5e7dc000, cmd=0x1, buf=0x7f2645d43000) = -1 (Invalid argument)
msgctl(msqid=-10, cmd=0x1, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=0x44ed503822b0, cmd=0x1, buf=0x7f2645b3e000) = -1 (Invalid argument)
msgctl(msqid=131, cmd=0x1, buf=0x0) = -1 (Bad address)
msgctl(msqid=8192, cmd=0x1, buf=0x7f2645f43000) = -1 (Invalid argument)
msgctl(msqid=-1025, cmd=0x1, buf=0x7f2645b43000) = -1 (Invalid argument)
msgctl(msqid=167, cmd=0x1, buf=0x0) = -1 (Bad address)
msgctl(msqid=0xffffffff00000007, cmd=0x1, buf=0x0) = -1 (Bad address)
msgctl(msqid=0x6d010040b600, cmd=0x1, buf=0x1) = -1 (Bad address)
msgctl(msqid=0xd4d4d4d4, cmd=0x1, buf=0x1) = -1 (Invalid argument)
msgctl(msqid=-5, cmd=0x1, buf=0x7f2646343000) = -1 (Invalid argument)
msgctl(msqid=0x81800000, cmd=0x1, buf=0x7f2646343000) = -1 (Invalid argument)
msgctl(msqid=0x40404040, cmd=0x1, buf=0x8) = -1 (Bad address)
msgctl(msqid=167, cmd=0x1, buf=0x7f2646143000) = -1 (Invalid argument)
msgctl(msqid=0x50410042, cmd=0x1, buf=0x0) = -1 (Bad address)
msgctl(msqid=0x5e5e5e5e, cmd=0x1, buf=0x7f2646343000) = -1 (Invalid argument)
msgctl(msqid=0x20000000, cmd=0x1, buf=0x0) = -1 (Bad address)
msgctl(msqid=0xcbcbcbcb, cmd=0x1, buf=0x7f2647c4d000) = -1 (Invalid argument)
msgctl(msqid=4096, cmd=0x1, buf=0x4) = -1 (Bad address)
msgctl(msqid=-229, cmd=0x1, buf=0x8) = -1 (Invalid argument)
msgctl(msqid=0x80000000, cmd=0x1, buf=0x8) = -1 (Invalid argument)
msgctl(msqid=16384, cmd=0x1, buf=0x7f2645b3e000) = -1 (Invalid argument)
msgctl(msqid=-2, cmd=0x1, buf=0x7f2645b40000) = -1 (Invalid argument)
msgctl(msqid=-1, cmd=0x1, buf=0x4) = -1 (Invalid argument)
msgctl(msqid=0x2400009e, cmd=0x1, buf=0x7f2646243000) = -1 (Invalid argument)
msgctl(msqid=0xffa0, cmd=0x1, buf=0x0) = -1 (Bad address)
msgctl(msqid=0xfff6, cmd=0x1, buf=0x0) = -1 (Bad address)
msgctl(msqid=0x200000, cmd=0x1, buf=0x7f2646343000) = -1 (Invalid argument)
msgctl(msqid=-210, cmd=0x0, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=-10, cmd=0x0, buf=0x1) = -1 (Invalid argument)
msgctl(msqid=0x421b66f6eea7, cmd=0x0, buf=0x1) = -1 (Invalid argument)
msgctl(msqid=0x35353535, cmd=0x0, buf=0x7f2645f43000) = -1 (Invalid argument)
msgctl(msqid=239, cmd=0x0, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=0x40000, cmd=0x0, buf=0x4) = -1 (Invalid argument)
msgctl(msqid=512, cmd=0x0, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=0xaf75719d7f, cmd=0x0, buf=0x8) = -1 (Invalid argument)
msgctl(msqid=256, cmd=0x0, buf=0x8) = -1 (Invalid argument)
msgctl(msqid=0x4080d0, cmd=0x0, buf=0x8) = -1 (Invalid argument)
msgctl(msqid=0xfffc, cmd=0x0, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=0xffcd, cmd=0x0, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=0, cmd=0x0, buf=0x1) = -1 (Invalid argument)
msgctl(msqid=0x80000000, cmd=0x0, buf=0x1) = -1 (Invalid argument)
msgctl(msqid=0x2a00b8000082, cmd=0x0, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=0x3a3a3a, cmd=0x0, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=-2, cmd=0x0, buf=0x7f2645b3e000) = -1 (Invalid argument)
msgctl(msqid=0x10000, cmd=0x0, buf=0x7f2645b3f000) = -1 (Invalid argument)
msgctl(msqid=0xe27a53fc28d1f, cmd=0x0, buf=0x7f2645b43000) = -1 (Invalid argument)
msgctl(msqid=0x200000000a2000, cmd=0x0, buf=0x8) = -1 (Invalid argument)
msgctl(msqid=0xd67e9c, cmd=0x0, buf=0x8) = -1 (Invalid argument)
msgctl(msqid=42, cmd=0x0, buf=0x1) = -1 (Invalid argument)
msgctl(msqid=-8, cmd=0x0, buf=0x7f2645d43000) = -1 (Invalid argument)
msgctl(msqid=0x8a4cc08ec3c0, cmd=0x0, buf=0x7f2646343000) = -1 (Invalid argument)
