epoll_ctl(epfd=23, op=0x2, fd=23, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=402, op=0x2, fd=402, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=402, op=0x2, fd=16, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=240, op=0x2, fd=12, event=0x555f77714810) = -1 (Bad file descriptor)
epoll_ctl(epfd=240, op=0x2, fd=18, event=0x555f77714810) = -1 (Bad file descriptor)
epoll_ctl(epfd=240, op=0x2, fd=359, event=0x555f77714810) = -1 (Bad file descriptor)
epoll_ctl(epfd=359, op=0x2, fd=395, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=359, op=0x2, fd=284, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=284, op=0x2, fd=285, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=152, op=0x2, fd=409, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=359, op=0x2, fd=302, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=359, op=0x2, fd=28, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=410, op=0x2, fd=27, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=410, op=0x2, fd=410, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=288, op=0x2, fd=7, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=288, op=0x2, fd=7, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=22, op=0x2, fd=283, event=0x555f77714810) = -1 (No such file or directory)
epoll_ctl(epfd=22, op=0x2, fd=18, event=0x555f77714810) = -1 (No such file or directory)
epoll_ctl(epfd=22, op=0x2, fd=22, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=13, op=0x2, fd=6, event=0x555f77714810) = -1 (No such file or directory)
epoll_ctl(epfd=13, op=0x2, fd=13, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=369, op=0x2, fd=369, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=10, op=0x2, fd=10, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=394, op=0x2, fd=12, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=394, op=0x2, fd=394, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=59, op=0x2, fd=29, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=287, op=0x2, fd=410, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=410, op=0x2, fd=410, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=410, op=0x2, fd=13, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=368, op=0x2, fd=282, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=281, op=0x2, fd=16, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=281, op=0x2, fd=387, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=291, op=0x2, fd=11, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=290, op=0x2, fd=403, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=408, op=0x2, fd=397, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=408, op=0x2, fd=408, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=408, op=0x2, fd=395, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=395, op=0x2, fd=306, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=16, op=0x2, fd=16, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=16, op=0x2, fd=303, event=0x555f77714810) = -1 (No such file or directory)
epoll_ctl(epfd=14, op=0x2, fd=7, event=0x555f77714810) = -1 (No such file or directory)
epoll_ctl(epfd=14, op=0x2, fd=56, event=0x555f77714810) = -1 (No such file or directory)
