io_uring_enter(fd=385, to_submit=140, min_complete=0xe1e1e000, flags=0x1, sig=0x7f18ca03c000, sigsz=0xfffffffffffc0000) = -1 (Operation not supported)
io_uring_enter(fd=385, to_submit=0xcbcbcbcb, min_complete=0, flags=0x1, sig=0x4, sigsz=-2) = -1 (Operation not supported)
io_uring_enter(fd=385, to_submit=0xffff0000, min_complete=91, flags=0x1, sig=0x7f18c9937000, sigsz=0x73c8) = -1 (Operation not supported)
io_uring_enter(fd=385, to_submit=183, min_complete=0xfffffffb, flags=0x1, sig=0x7f18c993c000, sigsz=0xa74e1fb6ce) = -1 (Operation not supported)
io_uring_enter(fd=385, to_submit=0xffffffff4c4c5000, min_complete=0xd7cda000, flags=0x1, sig=0x7f18c9937000, sigsz=0x644018234a920145) = -1 (Operation not supported)
io_uring_enter(fd=410, to_submit=166, min_complete=0xdb5d, flags=0x1, sig=0x1, sigsz=129) = -1 (Operation not supported)
io_uring_enter(fd=410, to_submit=-250, min_complete=0x30980010c298004, flags=0x1, sig=0x0, sigsz=0x8243ab4f3de871) = -1 (Operation not supported)
io_uring_enter(fd=410, to_submit=0x719733925a26, min_complete=0x8000, flags=0x1, sig=0x0, sigsz=8192) = -1 (Operation not supported)
io_uring_enter(fd=410, to_submit=125, min_complete=-1, flags=0x1, sig=0x7f18ca03c000, sigsz=17) = -1 (Operation not supported)
io_uring_enter(fd=410, to_submit=0x10000000, min_complete=0x8000, flags=0x2, sig=0x0, sigsz=12292) = -1 (Operation not supported)
io_uring_enter(fd=282, to_submit=0x8a401881090022, min_complete=0x4e4e4e4e, flags=0x2, sig=0x7f18cba45000, sigsz=0x407377c857) = -1 (Operation not supported)
io_uring_enter(fd=282, to_submit=-4, min_complete=128, flags=0x2, sig=0x1, sigsz=0x206080010f22004) = -1 (Operation not supported)
io_uring_enter(fd=282, to_submit=232, min_complete=4096, flags=0x2, sig=0x7f18cba46000, sigsz=0x3b035ec7659b) = -1 (Operation not supported)
io_uring_enter(fd=282, to_submit=0xa000, min_complete=0x94949494, flags=0x2, sig=0x8, sigsz=127) = -1 (Operation not supported)
io_uring_enter(fd=282, to_submit=0x8050ce205204c1, min_complete=-2, flags=0x2, sig=0x4, sigsz=32) = -1 (Operation not supported)
io_uring_enter(fd=282, to_submit=159, min_complete=184, flags=0x2, sig=0x1, sigsz=0x2d539c72) = -1 (Operation not supported)
io_uring_enter(fd=16, to_submit=0, min_complete=0x5d5d5d5d, flags=0x2, sig=0x4, sigsz=0) = -1 (Operation not supported)
io_uring_enter(fd=16, to_submit=-6, min_complete=0x6097db, flags=0x2, sig=0x0, sigsz=2048) = -1 (Operation not supported)
io_uring_enter(fd=379, to_submit=255, min_complete=-94, flags=0x2, sig=0x0, sigsz=0x10000000) = -1 (Operation not supported)
io_uring_enter(fd=379, to_submit=0xaeaeaeae, min_complete=-10, flags=0x2, sig=0x0, sigsz=0x500888080000) = -1 (Operation not supported)
io_uring_enter(fd=379, to_submit=215, min_complete=0xadadadad, flags=0x2, sig=0x7f18c993c000, sigsz=139) = -1 (Operation not supported)
io_uring_enter(fd=379, to_submit=150, min_complete=-6, flags=0x2, sig=0x7f18c9d3c000, sigsz=38) = -1 (Operation not supported)
io_uring_enter(fd=379, to_submit=197, min_complete=32, flags=0x2, sig=0x0, sigsz=0x223c1240aa10) = -1 (Operation not supported)
io_uring_enter(fd=379, to_submit=0x42000000204, min_complete=43, flags=0x2, sig=0x8, sigsz=0xffdd) = -1 (Operation not supported)
io_uring_enter(fd=282, to_submit=0x8000004000100, min_complete=0x54000200, flags=0x2, sig=0x7f18ca03c000, sigsz=221) = -1 (Operation not supported)
io_uring_enter(fd=282, to_submit=128, min_complete=0xfffc, flags=0x2, sig=0x7f18c9d3c000, sigsz=-1) = -1 (Operation not supported)
io_uring_enter(fd=282, to_submit=0xffff0000, min_complete=0x2281a614d512, flags=0x2, sig=0x4, sigsz=-129) = -1 (Operation not supported)
io_uring_enter(fd=282, to_submit=-2, min_complete=0xa4a7, flags=0x2, sig=0x8, sigsz=0xf3939393) = -1 (Operation not supported)
io_uring_enter(fd=282, to_submit=0x22b9b9c145d63fc3, min_complete=0x4c619268604d0825, flags=0x2, sig=0x7f18c9f3c000, sigsz=-6) = -1 (Operation not supported)
io_uring_enter(fd=282, to_submit=256, min_complete=8, flags=0x2, sig=0x8, sigsz=-8) = -1 (Operation not supported)
io_uring_enter(fd=298, to_submit=0x550b5f5020e840, min_complete=131, flags=0x2, sig=0x1, sigsz=0xffffffff986510d2) = -1 (Operation not supported)
io_uring_enter(fd=298, to_submit=256, min_complete=0xfffa, flags=0x2, sig=0x0, sigsz=28) = -1 (Operation not supported)
io_uring_enter(fd=306, to_submit=244, min_complete=228, flags=0x2, sig=0x4, sigsz=0x297b789173) = -1 (Operation not supported)
io_uring_enter(fd=306, to_submit=3, min_complete=-2, flags=0x2, sig=0x4, sigsz=-5) = -1 (Operation not supported)
io_uring_enter(fd=306, to_submit=4096, min_complete=2, flags=0x2, sig=0x7f18ca03c000, sigsz=164) = -1 (Operation not supported)
io_uring_enter(fd=409, to_submit=0, min_complete=226, flags=0x2, sig=0x4, sigsz=0x7038c05d) = -1 (Operation not supported)
io_uring_enter(fd=409, to_submit=0xfffffffc, min_complete=10962, flags=0x2, sig=0x1, sigsz=0xffffae439cebef42) = -1 (Operation not supported)
io_uring_enter(fd=409, to_submit=0x58538186fb130, min_complete=0x86868686, flags=0x2, sig=0x7f18c9938000, sigsz=153) = -1 (Operation not supported)
io_uring_enter(fd=409, to_submit=0x200200000, min_complete=0xff4b, flags=0x2, sig=0x0, sigsz=-10) = -1 (Operation not supported)
io_uring_enter(fd=409, to_submit=0x10000000, min_complete=0x1522f109a4eb48, flags=0x2, sig=0x0, sigsz=137) = -1 (Operation not supported)
io_uring_enter(fd=409, to_submit=0x200200210, min_complete=0, flags=0x2, sig=0x7f18c9f3c000, sigsz=0x3e4cf36a319b68bc) = -1 (Operation not supported)
io_uring_enter(fd=409, to_submit=0x20002840002001, min_complete=0xffef, flags=0x2, sig=0x8, sigsz=0x200000) = -1 (Operation not supported)
io_uring_enter(fd=23, to_submit=0x10502341402a10, min_complete=101, flags=0x2, sig=0x7f18c9937000, sigsz=254) = -1 (Operation not supported)
io_uring_enter(fd=23, to_submit=0x1caf93681b24b729, min_complete=1024, flags=0x2, sig=0x7f18c9b3c000, sigsz=-9) = -1 (Operation not supported)
io_uring_enter(fd=23, to_submit=0x4c9034a21649, min_complete=0x4c000000, flags=0x2, sig=0x4, sigsz=0x4a2e3000) = -1 (Operation not supported)
io_uring_enter(fd=23, to_submit=236, min_complete=0, flags=0x2, sig=0x0, sigsz=0xb8a023fedf15) = -1 (Operation not supported)
io_uring_enter(fd=23, to_submit=640, min_complete=0xa5a5000, flags=0x2, sig=0x7f18cba45000, sigsz=233) = -1 (Operation not supported)
io_uring_enter(fd=23, to_submit=-71, min_complete=0xff7fb917c68a982f, flags=0x2, sig=0x4, sigsz=0xffffefff) = -1 (Operation not supported)
io_uring_enter(fd=10, to_submit=14, min_complete=0xe1d7, flags=0x2, sig=0x0, sigsz=0x8840009228) = -1 (Operation not supported)
io_uring_enter(fd=10, to_submit=2, min_complete=0xffffefff, flags=0x2, sig=0x7f18c9937000, sigsz=139) = -1 (Operation not supported)
io_uring_enter(fd=282, to_submit=0x74747474, min_complete=0x8000, flags=0x2, sig=0x7f18c9938000, sigsz=0x7baa5d4ef22164) = -1 (Operation not supported)
io_uring_enter(fd=282, to_submit=0xb60ed039ef, min_complete=0xb6b6b6b6, flags=0x2, sig=0x4, sigsz=0xb3ec01131e4e) = -1 (Operation not supported)
io_uring_enter(fd=282, to_submit=0x5b7b119d5d, min_complete=4, flags=0x2, sig=0x7f18c993c000, sigsz=0x80000029) = -1 (Operation not supported)
io_uring_enter(fd=282, to_submit=140, min_complete=233, flags=0x2, sig=0x8, sigsz=0xffffe000) = -1 (Operation not supported)
io_uring_enter(fd=345, to_submit=0xffff, min_complete=4, flags=0x2, sig=0x0, sigsz=0xb5b5b5b5) = -1 (Operation not supported)
io_uring_enter(fd=345, to_submit=0x2000000, min_complete=3713, flags=0x2, sig=0x7f18c9f3c000, sigsz=0x3954d181a8) = -1 (Operation not supported)
io_uring_enter(fd=345, to_submit=0x730e1ad23791a649, min_complete=56, flags=0x2, sig=0x1, sigsz=0xffff0000) = -1 (Operation not supported)
io_uring_enter(fd=345, to_submit=1, min_complete=0x73737373, flags=0x2, sig=0x0, sigsz=-2) = -1 (Operation not supported)
io_uring_enter(fd=345, to_submit=-8, min_complete=0x9e1fb40413, flags=0x2, sig=0x0, sigsz=0x6000f000) = -1 (Operation not supported)
io_uring_enter(fd=345, to_submit=0x800014000, min_complete=16384, flags=0x2, sig=0x7f18cba45000, sigsz=-7) = -1 (Operation not supported)
io_uring_enter(fd=385, to_submit=195, min_complete=-193, flags=0x0, sig=0x1, sigsz=0x7d7d7d7d) = -1 (Operation not supported)
io_uring_enter(fd=287, to_submit=0xcdcdcdcd, min_complete=-4, flags=0x1, sig=0x0, sigsz=0xffffff6cacf3e6fb) = -1 (Operation not supported)
io_uring_enter(fd=287, to_submit=0xf4ce, min_complete=-1, flags=0x1, sig=0x8, sigsz=0xac52d46f19e080) = -1 (Operation not supported)
io_uring_enter(fd=287, to_submit=-5, min_complete=-4, flags=0x1, sig=0x1, sigsz=16) = -1 (Operation not supported)
io_uring_enter(fd=287, to_submit=3070, min_complete=1, flags=0x1, sig=0x7f57cbdb6000, sigsz=0xf1f1f1f1) = -1 (Operation not supported)
io_uring_enter(fd=287, to_submit=0xc2592a2243, min_complete=0, flags=0x1, sig=0x7f57cb9b6000, sigsz=0xfffc) = -1 (Operation not supported)
io_uring_enter(fd=386, to_submit=0x2e9e8f4b39086ab6, min_complete=0x138000a00001, flags=0x1, sig=0x7f57cbbb6000, sigsz=0x218657749a9ee0) = -1 (Operation not supported)
io_uring_enter(fd=386, to_submit=0x20081000000, min_complete=0x4676, flags=0x1, sig=0x7f57cb9b1000, sigsz=0x403002010040) = -1 (Operation not supported)
io_uring_enter(fd=386, to_submit=4, min_complete=1024, flags=0x1, sig=0x0, sigsz=0x76767676) = -1 (Operation not supported)
io_uring_enter(fd=386, to_submit=1024, min_complete=0x2000000, flags=0x1, sig=0x7f57cbfb6000, sigsz=0xff006a) = -1 (Operation not supported)
io_uring_enter(fd=386, to_submit=-9, min_complete=0x47474747, flags=0x1, sig=0x7f57cb9b5000, sigsz=0x4d7cba9f7369dfea) = -1 (Operation not supported)
io_uring_enter(fd=386, to_submit=0xa55c180aa2d5, min_complete=1024, flags=0x1, sig=0x7f57cb9b6000, sigsz=51) = -1 (Operation not supported)
io_uring_enter(fd=329, to_submit=0xd2d2d2d2, min_complete=0x768c3deb50c66d4a, flags=0x1, sig=0x7f57cbbb6000, sigsz=-4) = -1 (Operation not supported)
io_uring_enter(fd=329, to_submit=-2, min_complete=512, flags=0x1, sig=0x4, sigsz=0x4019008c0) = -1 (Operation not supported)
io_uring_enter(fd=329, to_submit=-7, min_complete=0x7a7a7a7a, flags=0x1, sig=0x1, sigsz=44) = -1 (Operation not supported)
io_uring_enter(fd=329, to_submit=139, min_complete=-7, flags=0x1, sig=0x8, sigsz=0x443040c1ac00093) = -1 (Operation not supported)
io_uring_enter(fd=329, to_submit=-8193, min_complete=255, flags=0x1, sig=0x8, sigsz=-8) = -1 (Operation not supported)
io_uring_enter(fd=329, to_submit=0x36363636, min_complete=2048, flags=0x1, sig=0x7f57cb9b1000, sigsz=0xffffefff) = -1 (Operation not supported)
io_uring_enter(fd=390, to_submit=0xffffffff77777778, min_complete=199, flags=0x1, sig=0x7f57cb9b2000, sigsz=120) = -1 (Operation not supported)
io_uring_enter(fd=390, to_submit=0, min_complete=0x160fca2a610b8f55, flags=0x1, sig=0x7f57cbbb6000, sigsz=0x2000000) = -1 (Operation not supported)
io_uring_enter(fd=390, to_submit=0x255473d068075b15, min_complete=0x400000, flags=0x1, sig=0x0, sigsz=0x1e1e1e1e) = -1 (Operation not supported)
io_uring_enter(fd=390, to_submit=0x94afb1748fea3, min_complete=0xc000, flags=0x1, sig=0x4, sigsz=0x8da002801005a) = -1 (Operation not supported)
io_uring_enter(fd=390, to_submit=218, min_complete=-10, flags=0x1, sig=0x0, sigsz=0x400000) = -1 (Operation not supported)
io_uring_enter(fd=390, to_submit=0xad321000, min_complete=0x1510bd6c52af4cef, flags=0x1, sig=0x7f57cb9b6000, sigsz=0x20000000) = -1 (Operation not supported)
io_uring_enter(fd=306, to_submit=0x20000, min_complete=0x4040404, flags=0x1, sig=0x8, sigsz=0x635c) = -1 (Operation not supported)
io_uring_enter(fd=306, to_submit=0x2330921012888f8a, min_complete=0x80000, flags=0x1, sig=0x1, sigsz=121) = -1 (Operation not supported)
io_uring_enter(fd=306, to_submit=107, min_complete=-7, flags=0x1, sig=0x7f57cb9b4000, sigsz=0x1002020) = -1 (Operation not supported)
io_uring_enter(fd=306, to_submit=-1, min_complete=115, flags=0x1, sig=0x1, sigsz=0xffff) = -1 (Operation not supported)
io_uring_enter(fd=306, to_submit=440, min_complete=32, flags=0x1, sig=0x0, sigsz=0x6a6b31c817) = -1 (Operation not supported)
io_uring_enter(fd=306, to_submit=0xfffffffff7ffff58, min_complete=-9, flags=0x1, sig=0x1, sigsz=245) = -1 (Operation not supported)
