epoll_pwait(epfd=300, events=0x4, maxevents=0x4f4f4f4f, timeout=-3, sigmask=0, sigsetsize=0x4005800010910200) = -1 (Invalid argument)
epoll_pwait(epfd=300, events=0x8, maxevents=0xffff, timeout=0x1828c644e0, sigmask=0x4000000, sigsetsize=4096) = -1 (Invalid argument)
epoll_pwait(epfd=300, events=0x1, maxevents=0xa5a5a5a5, timeout=-1, sigmask=0x1e1e1e1e, sigsetsize=16384) = -1 (Invalid argument)
epoll_pwait(epfd=300, events=0x7fd453693000, maxevents=0x659d70f30537, timeout=16384, sigmask=0x51000031, sigsetsize=0xffffffff) = -1 (Invalid argument)
epoll_pwait(epfd=27, events=0x0, maxevents=0xacacacac, timeout=0x3feb52eb, sigmask=128, sigsetsize=255) = -1 (Invalid argument)
epoll_pwait(epfd=27, events=0x1, maxevents=131, timeout=2, sigmask=0x323cc22950938666, sigsetsize=-128) = -1 (Invalid argument)
epoll_pwait(epfd=27, events=0x7fd453a98000, maxevents=0x8002020, timeout=0x83838383, sigmask=256, sigsetsize=-8) = -1 (Invalid argument)
epoll_pwait(epfd=27, events=0x7fd453a98000, maxevents=0xa5a5a5a5, timeout=16, sigmask=0xa9a9a9a9, sigsetsize=0) = -1 (Invalid argument)
epoll_pwait(epfd=27, events=0x7fd4557a0000, maxevents=0x72727272, timeout=5911, sigmask=-9, sigsetsize=-10) = -1 (Invalid argument)
epoll_pwait(epfd=27, events=0x7fd453694000, maxevents=233, timeout=0x73d3a000, sigmask=0x71717171, sigsetsize=44) = -1 (Invalid argument)
epoll_pwait(epfd=384, events=0x7fd453e98000, maxevents=0xea21827c2489, timeout=-4, sigmask=32, sigsetsize=0x44009480902) = -1 (Invalid argument)
epoll_pwait(epfd=14, events=0x1, maxevents=1, timeout=124, sigmask=0x800000, sigsetsize=1743) = -1 (Invalid argument)
epoll_pwait(epfd=14, events=0x7f203dd07000, maxevents=2048, timeout=0x6b6191294202fb, sigmask=133, sigsetsize=0x67676767) = -1 (Invalid argument)
epoll_pwait(epfd=14, events=0x7f203e108000, maxevents=8192, timeout=0xe100, sigmask=0xf2ef643d4671, sigsetsize=0x50505050) = -1 (Invalid argument)
epoll_pwait(epfd=14, events=0x7f203dd08000, maxevents=-5, timeout=0x5a5a5a5a, sigmask=0x648d4beb7a80, sigsetsize=0) = -1 (Invalid argument)
epoll_pwait(epfd=410, events=0x1, maxevents=0x1100604030006, timeout=0xffffe000, sigmask=0x13131313, sigsetsize=178) = -1 (Invalid argument)
epoll_pwait(epfd=410, events=0x7f203dd08000, maxevents=0xfff6, timeout=0xe000, sigmask=0, sigsetsize=0x80000) = -1 (Invalid argument)
epoll_pwait(epfd=302, events=0x8, maxevents=8, timeout=0x12121212, sigmask=0x7e5726054809, sigsetsize=-1) = -1 (Invalid argument)
epoll_pwait(epfd=302, events=0x1, maxevents=0xffff, timeout=0x21b5a49815c01916, sigmask=8602, sigsetsize=0x40000000) = -1 (Invalid argument)
epoll_pwait(epfd=302, events=0x8, maxevents=16, timeout=0x8c38a549e6b364, sigmask=0x2f288d138e516f, sigsetsize=0x950384147118) = -1 (Invalid argument)
epoll_pwait(epfd=302, events=0x7f203dd07000, maxevents=50, timeout=0xf6f6f6f6, sigmask=-6, sigsetsize=0x10000000) = -1 (Invalid argument)
epoll_pwait(epfd=407, events=0x7f203df08000, maxevents=4096, timeout=-6, sigmask=-1, sigsetsize=159) = -1 (Invalid argument)
epoll_pwait(epfd=407, events=0x8, maxevents=0xffffff70e18a8041, timeout=0, sigmask=0x8000, sigsetsize=-3) = -1 (Invalid argument)
epoll_pwait(epfd=407, events=0x4, maxevents=0, timeout=0x756203808228500, sigmask=158, sigsetsize=0xf64e) = -1 (Invalid argument)
epoll_pwait(epfd=298, events=0x8, maxevents=0xcd6412846886, timeout=0x8507c80121da, sigmask=-7, sigsetsize=241) = -1 (Invalid argument)
epoll_pwait(epfd=298, events=0x4, maxevents=0xfffc, timeout=0x822e032201e0, sigmask=0x204050, sigsetsize=0xfd23e0dc4b) = -1 (Invalid argument)
epoll_pwait(epfd=298, events=0x1, maxevents=0xff3df3de77fb9378, timeout=-129, sigmask=0x800000, sigsetsize=0x6c4c4c4c) = -1 (Invalid argument)
epoll_pwait(epfd=298, events=0x0, maxevents=255, timeout=0x6beb, sigmask=4096, sigsetsize=-4) = -1 (Invalid argument)
epoll_pwait(epfd=16, events=0x0, maxevents=189, timeout=64, sigmask=0x4e7fc2dd1b, sigsetsize=0xff8f) = -1 (Invalid argument)
epoll_pwait(epfd=16, events=0x4, maxevents=0x10000, timeout=0x3112a52f9b4635, sigmask=0x7370461f16432e26, sigsetsize=0xffc3b50ccb3767ea) = -1 (Invalid argument)
epoll_pwait(epfd=16, events=0x7f203dd04000, maxevents=328, timeout=0xf7f7f7f7, sigmask=0x330b861d2ff25f, sigsetsize=4096) = -1 (Invalid argument)
epoll_pwait(epfd=16, events=0x7f203e308000, maxevents=0x54545454, timeout=0xfffc, sigmask=223, sigsetsize=0x3000000000000) = -1 (Invalid argument)
epoll_pwait(epfd=16, events=0x0, maxevents=0x9090909, timeout=0xdf1e, sigmask=-6, sigsetsize=0) = -1 (Invalid argument)
epoll_pwait(epfd=16, events=0x7f203dd03000, maxevents=113, timeout=0x400002d2088461, sigmask=-1, sigsetsize=0x7590090388490558) = -1 (Invalid argument)
epoll_pwait(epfd=23, events=0x7f203fe10000, maxevents=0xfffffff7, timeout=6168, sigmask=-4, sigsetsize=0x4941c06c21) = -1 (Invalid argument)
epoll_pwait(epfd=23, events=0x8, maxevents=202, timeout=66, sigmask=0xfdef0000, sigsetsize=0x6000) = -1 (Invalid argument)
epoll_pwait(epfd=23, events=0x8, maxevents=32, timeout=0x33333333, sigmask=0x2d2d2d2d, sigsetsize=2048) = -1 (Invalid argument)
epoll_pwait(epfd=23, events=0x0, maxevents=0xf9f9, timeout=4096, sigmask=0, sigsetsize=0xbf22af4a01) = -1 (Invalid argument)
epoll_pwait(epfd=23, events=0x7f203dd06000, maxevents=0x21ea4739897f12, timeout=0xf9f9f9f9, sigmask=0xffffffff0f2f2f30, sigsetsize=-6) = -1 (Invalid argument)
epoll_pwait(epfd=287, events=0x7f203dd04000, maxevents=-1, timeout=8192, sigmask=32, sigsetsize=-2) = -1 (Invalid argument)
epoll_pwait(epfd=287, events=0x0, maxevents=16384, timeout=-23, sigmask=0x5c93434473806643, sigsetsize=0x9494) = -1 (Invalid argument)
epoll_pwait(epfd=287, events=0x8, maxevents=191, timeout=0x422027288821, sigmask=0x7832b36bffe2a2, sigsetsize=8192) = -1 (Invalid argument)
epoll_pwait(epfd=287, events=0x7f203e108000, maxevents=195, timeout=-2049, sigmask=0, sigsetsize=-9) = -1 (Invalid argument)
epoll_pwait(epfd=406, events=0x8, maxevents=-5, timeout=126, sigmask=-7, sigsetsize=0x1008000400) = -1 (Invalid argument)
epoll_pwait(epfd=406, events=0x0, maxevents=207, timeout=-5, sigmask=0xffffff04, sigsetsize=-188) = -1 (Invalid argument)
epoll_pwait(epfd=406, events=0x7f203e308000, maxevents=0x6936b3d0b5, timeout=182, sigmask=0x1d08e49836, sigsetsize=4096) = -1 (Invalid argument)
epoll_pwait(epfd=289, events=0x0, maxevents=512, timeout=0x508008840, sigmask=0xfffff000, sigsetsize=0xffffff64) = -1 (Invalid argument)
epoll_pwait(epfd=289, events=0x7f203dd04000, maxevents=-2, timeout=0, sigmask=0x42424242, sigsetsize=0xfffffffc) = -1 (Invalid argument)
epoll_pwait(epfd=24, events=0x0, maxevents=0xb6b6b6b6, timeout=109, sigmask=128, sigsetsize=1536) = -1 (Invalid argument)
epoll_pwait(epfd=24, events=0x0, maxevents=-9, timeout=-3, sigmask=223, sigsetsize=0x1dde0e715f599f90) = -1 (Invalid argument)
epoll_pwait(epfd=24, events=0x7f203dd08000, maxevents=64, timeout=0x34343434, sigmask=0x14000032, sigsetsize=0xd9941cd3bb47189) = -1 (Invalid argument)
epoll_pwait(epfd=24, events=0x8, maxevents=0x13872e7b, timeout=-9, sigmask=-4, sigsetsize=0x6000a820b06900aa) = -1 (Invalid argument)
epoll_pwait(epfd=24, events=0x1, maxevents=0xfff8, timeout=201, sigmask=154, sigsetsize=0x1cd6e00d4872ebcb) = -1 (Invalid argument)
epoll_pwait(epfd=24, events=0x0, maxevents=0x600020451858, timeout=0xb2cfd432, sigmask=0xda23703264f5, sigsetsize=0x8c000077) = -1 (Invalid argument)
epoll_pwait(epfd=287, events=0x1, maxevents=-65, timeout=110, sigmask=0x1400000c, sigsetsize=0x51410101008000) = -1 (Invalid argument)
epoll_pwait(epfd=287, events=0x0, maxevents=0x1f1f1f1f, timeout=-3, sigmask=0x25d8eba, sigsetsize=0x82481018000810) = -1 (Invalid argument)
epoll_pwait(epfd=287, events=0x7f203df08000, maxevents=0xffff0000, timeout=0x4000000, sigmask=0x8c4a86900014, sigsetsize=88) = -1 (Invalid argument)
epoll_pwait(epfd=404, events=0x7f203fe12000, maxevents=0x4401680608, timeout=0x27272727, sigmask=0x4000fffb, sigsetsize=0xc4c4c4c4) = -1 (Invalid argument)
epoll_pwait(epfd=404, events=0x4, maxevents=0x102890a4c6, timeout=2, sigmask=166, sigsetsize=-9) = -1 (Invalid argument)
epoll_pwait(epfd=392, events=0x7f203fe12000, maxevents=0x64fd05d8103c7406, timeout=1024, sigmask=0x200000, sigsetsize=0) = -1 (Invalid argument)
epoll_pwait(epfd=392, events=0x0, maxevents=16, timeout=256, sigmask=2, sigsetsize=-1) = -1 (Invalid argument)
epoll_pwait(epfd=392, events=0x7f203e108000, maxevents=0x200000, timeout=9, sigmask=0x4000045, sigsetsize=2048) = -1 (Invalid argument)
epoll_pwait(epfd=24, events=0x0, maxevents=0xffffffffff000000, timeout=0x561be537d946f3, sigmask=255, sigsetsize=85) = -1 (Invalid argument)
epoll_pwait(epfd=305, events=0x7fb592e02000, maxevents=-4, timeout=0x56a0422b5885042, sigmask=0x1c075951eec241, sigsetsize=0xfff8) = -1 (Invalid argument)
