futex(uaddr=0x7f4d7884c000, op=0x80, val=0x400000, utime=0x0, uaddr2=0x7f4d7904f000, val3=0x10000) = -1 (Resource temporarily unavailable)
futex(uaddr=0x562880c19d80, op=0x10b, val=0, utime=0x4, uaddr2=0x562880c19920, val3=0xde1d46c) = -1 (Bad address)
futex(uaddr=0x562880c19ba0, op=0xb, val=0, utime=0x0, uaddr2=0x562880c19c40, val3=-7) = -1 (Resource temporarily unavailable)
futex(uaddr=0x7f4d7a958000, op=0x80, val=0x110430f000, utime=0x8, uaddr2=0x7f4d7a957000, val3=0) = -1 (Bad address)
futex(uaddr=0x7f4d7a958000, op=0x80, val=0x100000, utime=0x7f4d7884a000, uaddr2=0x7f4d7a959000, val3=0xe4e4) = -1 (Resource temporarily unavailable)
futex(uaddr=0x7f4d78a4f000, op=0x80, val=0x240012805054220, utime=0x0, uaddr2=0x7f4d7a958000, val3=0xf3f513953fd7e7de) = -1 (Resource temporarily unavailable)
futex(uaddr=0x562880c19ce0, op=0x6, val=1, utime=0x0, uaddr2=0x562880c199c0, val3=4096) = -1 (No such process)
futex(uaddr=0x562880c19ba0, op=0x5, val=1, utime=0x0, uaddr2=0x562880c19ba0, val3=5) = 0
futex(uaddr=0x7f4d78e4f000, op=0x81, val=0x800fffb, utime=0x0, uaddr2=0x7f4d7884c000, val3=45) = 0
futex(uaddr=0x562880c19920, op=0x1, val=0x7fffffff, utime=0x7f4d78a4f000, uaddr2=0x562880c19660, val3=222) = 0
futex(uaddr=0x7f4d7a957000, op=0x84, val=0x9f9f9f9f, utime=0x8, uaddr2=0x7f4d78f4f000, val3=29) = -1 (Invalid argument)
futex(uaddr=0x7f4d7884f000, op=0x84, val=-8, utime=0x7f4d7884b000, uaddr2=0x7f4d7904f000, val3=174) = -1 (Invalid argument)
futex(uaddr=0x562880c19740, op=0x10b, val=0, utime=0x1, uaddr2=0x562880c19740, val3=2) = -1 (Bad address)
futex(uaddr=0x562880c19b00, op=0xc, val=0x7fffffff, utime=0x7f4d78c4f000, uaddr2=0x562880c19920, val3=0xffffffffdeffacad) = -1 (Invalid argument)
futex(uaddr=0x562880c199c0, op=0xc, val=0x7fffffff, utime=0x7f4d78f4f000, uaddr2=0x562880c19a60, val3=-138) = -1 (Invalid argument)
futex(uaddr=0x7f4d7904f000, op=0x84, val=0xf710d26e41, utime=0x1, uaddr2=0x7f4d78e4f000, val3=-4) = -1 (Resource temporarily unavailable)
futex(uaddr=0x7f4d7884f000, op=0x84, val=256, utime=0x7f4d7884c000, uaddr2=0x7f4d7a958000, val3=0x20000) = -1 (Resource temporarily unavailable)
futex(uaddr=0x562880c197e0, op=0x80, val=1, utime=0x8, uaddr2=0x562880c19c40, val3=0x2f2f2f2f) = -1 (Bad address)
futex(uaddr=0x562880c19a60, op=0x5, val=1, utime=0x7f4d7884f000, uaddr2=0x562880c199c0, val3=3) = 0
futex(uaddr=0x562880c19b00, op=0x1, val=0x7fffffff, utime=0x0, uaddr2=0x562880c19a60, val3=-6) = 0
