fgetxattr(fd=8, name=0x4, value=0x7fe1828ea000, size=4096) = -1 (Bad address)
fgetxattr(fd=8, name=0x0, value=0x7fe1807db000, size=4) = -1 (Bad address)
fgetxattr(fd=8, name=0x0, value=0x1, size=0) = -1 (Bad address)
fgetxattr(fd=8, name=0x7fe1807db000, value=0x7fe1807e0000, size=0) = -1 (Numerical result out of range)
fgetxattr(fd=8, name=0x0, value=0x7fe1807dc000, size=222) = -1 (Bad address)
fgetxattr(fd=407, name=0x4, value=0x8, size=0) = -1 (Bad address)
fgetxattr(fd=407, name=0x7fe1807dc000, value=0x7fe1828ea000, size=0x24242000) = -1 (Numerical result out of range)
fgetxattr(fd=407, name=0x4, value=0xc, size=102) = -1 (Bad address)
fgetxattr(fd=407, name=0x7fe1828e9000, value=0x7fe1828e9008, size=4) = -1 (Numerical result out of range)
fgetxattr(fd=407, name=0x7fe1828ea000, value=0x7fe180be0000, size=1) = -1 (Numerical result out of range)
fgetxattr(fd=7, name=0x7fe1807e0000, value=0x7fe1807e0008, size=4096) = -1 (Numerical result out of range)
fgetxattr(fd=7, name=0x8, value=0x7fe1807e0000, size=4096) = -1 (Bad address)
fgetxattr(fd=29, name=0x0, value=0x1, size=0xfff6) = -1 (Bad address)
fgetxattr(fd=29, name=0x7fe1807de000, value=0x7fe1807de001, size=4) = -1 (Numerical result out of range)
fgetxattr(fd=29, name=0x8, value=0x10, size=132) = -1 (Bad address)
fgetxattr(fd=29, name=0x7fe1807df000, value=0x7fe1807df008, size=1) = -1 (Numerical result out of range)
fgetxattr(fd=29, name=0x4, value=0x0, size=0x7ffc) = -1 (Bad address)
fgetxattr(fd=401, name=0x7fe180fe0000, value=0x7fe1807e0000, size=4) = -1 (Numerical result out of range)
fgetxattr(fd=401, name=0x0, value=0x0, size=1) = -1 (Bad address)
fgetxattr(fd=18, name=0x7fe1828ea000, value=0x7fe180be0000, size=1) = -1 (Numerical result out of range)
fgetxattr(fd=18, name=0x1, value=0x0, size=89) = -1 (Bad address)
fgetxattr(fd=285, name=0x1, value=0x2, size=8) = -1 (Bad address)
fgetxattr(fd=285, name=0x7fe1809e0000, value=0x7fe1807de000, size=2168) = -1 (Numerical result out of range)
fgetxattr(fd=285, name=0x7fe1809e0000, value=0x7fe1809e0004, size=0) = -1 (Numerical result out of range)
fgetxattr(fd=285, name=0x8, value=0x10, size=4096) = -1 (Bad address)
fgetxattr(fd=285, name=0x7fe180be0000, value=0x7fe1828e8000, size=4) = -1 (Numerical result out of range)
fgetxattr(fd=285, name=0x1, value=0x7fe1807db000, size=1) = -1 (Bad address)
fgetxattr(fd=7, name=0x7fe1807db000, value=0x7fe1807de000, size=2560) = -1 (Numerical result out of range)
fgetxattr(fd=7, name=0x7fe1807de000, value=0x7fe1807dd000, size=1) = -1 (Numerical result out of range)
fgetxattr(fd=7, name=0x7fe1809e0000, value=0x7fe1809e0000, size=8) = -1 (Numerical result out of range)
fgetxattr(fd=7, name=0x1, value=0x7fe1809e0000, size=8) = -1 (Bad address)
fgetxattr(fd=7, name=0x7fe180de0000, value=0x7fe180de0001, size=208) = -1 (Numerical result out of range)
fgetxattr(fd=7, name=0x1, value=0x9, size=256) = -1 (Bad address)
fgetxattr(fd=22, name=0x7fe1807e0000, value=0x7fe1807e0000, size=4096) = -1 (Numerical result out of range)
fgetxattr(fd=22, name=0x7fe1809e0000, value=0x7fe1809e0008, size=4096) = -1 (Numerical result out of range)
fgetxattr(fd=22, name=0x0, value=0x1, size=0xffff) = -1 (Bad address)
fgetxattr(fd=22, name=0x4, value=0x0, size=255) = -1 (Bad address)
fgetxattr(fd=384, name=0x1, value=0x2, size=82) = -1 (Bad address)
fgetxattr(fd=384, name=0x4, value=0x7ff12b480000, size=8192) = -1 (Bad address)
fgetxattr(fd=384, name=0x4, value=0x7ff12b480000, size=61) = -1 (Bad address)
fgetxattr(fd=10, name=0x8, value=0x10, size=2715) = -1 (Bad address)
fgetxattr(fd=10, name=0x7ff12ba85000, value=0x7ff12d58d000, size=1) = -1 (Numerical result out of range)
fgetxattr(fd=355, name=0x0, value=0x7ff12ba85000, size=0) = -1 (Bad address)
fgetxattr(fd=355, name=0x7ff12b480000, value=0x7ff12b480001, size=0) = -1 (Numerical result out of range)
fgetxattr(fd=355, name=0x0, value=0x8, size=1) = -1 (Bad address)
fgetxattr(fd=355, name=0x1, value=0x7ff12b484000, size=0) = -1 (Bad address)
fgetxattr(fd=355, name=0x7ff12ba85000, value=0x7ff12bc85000, size=1) = -1 (Numerical result out of range)
fgetxattr(fd=284, name=0x1, value=0x2, size=8) = -1 (Bad address)
fgetxattr(fd=284, name=0x4, value=0x7ff12b483000, size=8) = -1 (Bad address)
fgetxattr(fd=284, name=0x1, value=0x7ff12b485000, size=4096) = -1 (Bad address)
fgetxattr(fd=284, name=0x0, value=0x7ff12b685000, size=0x2000000) = -1 (Bad address)
fgetxattr(fd=152, name=0x7ff12d58d000, value=0x7ff12d58d004, size=8192) = -1 (Numerical result out of range)
fgetxattr(fd=152, name=0x7ff12b482000, value=0x7ff12b482008, size=254) = -1 (Numerical result out of range)
fgetxattr(fd=379, name=0x7ff12b485000, value=0x7ff12b485008, size=8) = -1 (Numerical result out of range)
fgetxattr(fd=379, name=0x8, value=0x9, size=4096) = -1 (Bad address)
