mq_timedreceive(mqdes=287, u_msg_ptr=0x0, msg_len=4, u_msg_prio=0x0, u_abs_timeout=0x4) = -1 (Bad address)
mq_timedreceive(mqdes=287, u_msg_ptr=0x7fbca5799000, msg_len=4, u_msg_prio=0x7fbca5f9d000, u_abs_timeout=0x7fbca5f9d008) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=410, u_msg_ptr=0x7fbca5b9d000, msg_len=1, u_msg_prio=0x7fbca5b9d000, u_abs_timeout=0x7fbca5b9d000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=410, u_msg_ptr=0x4, msg_len=253, u_msg_prio=0x4, u_abs_timeout=0x4) = -1 (Bad address)
mq_timedreceive(mqdes=17, u_msg_ptr=0x1, msg_len=4, u_msg_prio=0x7fbca5f9d000, u_abs_timeout=0x7fbca5f9d008) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=17, u_msg_ptr=0x7fbca5b9d000, msg_len=0xd9c00, u_msg_prio=0x7fbca5b9d000, u_abs_timeout=0x7fbca599d000) = -1 (Invalid argument)
mq_timedreceive(mqdes=17, u_msg_ptr=0x7fbca78a7000, msg_len=0xfffff6, u_msg_prio=0x0, u_abs_timeout=0x1) = -1 (Bad address)
mq_timedreceive(mqdes=17, u_msg_ptr=0x7fbca78a6000, msg_len=4, u_msg_prio=0x7fbca78a6000, u_abs_timeout=0x7fbca78a6000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=17, u_msg_ptr=0x4, msg_len=4096, u_msg_prio=0x8, u_abs_timeout=0x10) = -1 (Bad address)
mq_timedreceive(mqdes=17, u_msg_ptr=0x7fbca5d9d000, msg_len=1, u_msg_prio=0x7fbca5d9d000, u_abs_timeout=0x7fbca5d9d004) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=10, u_msg_ptr=0x7fbca579d000, msg_len=1, u_msg_prio=0x7fbca579d000, u_abs_timeout=0x7fbca579d001) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=10, u_msg_ptr=0x0, msg_len=1, u_msg_prio=0x8, u_abs_timeout=0x9) = -1 (Bad address)
mq_timedreceive(mqdes=10, u_msg_ptr=0x4, msg_len=0xffff, u_msg_prio=0x7fbca579c000, u_abs_timeout=0x7fbca5799000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=10, u_msg_ptr=0x7fbca599d000, msg_len=0, u_msg_prio=0x7fbca599d008, u_abs_timeout=0x7fbca599d00c) = -1 (Invalid argument)
mq_timedreceive(mqdes=282, u_msg_ptr=0x7fbca5798000, msg_len=0, u_msg_prio=0x7fbca5798000, u_abs_timeout=0x7fbca5798000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=285, u_msg_ptr=0x0, msg_len=168, u_msg_prio=0x4, u_abs_timeout=0x4) = -1 (Bad address)
mq_timedreceive(mqdes=345, u_msg_ptr=0x7f8c52fc3000, msg_len=2, u_msg_prio=0x7f8c52dc3000, u_abs_timeout=0x7f8c52bc3000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=345, u_msg_ptr=0x7f8c54ccb000, msg_len=16, u_msg_prio=0x7f8c52bc3000, u_abs_timeout=0x7f8c52bc3001) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=345, u_msg_ptr=0x1, msg_len=1845, u_msg_prio=0x0, u_abs_timeout=0x8) = -1 (Bad address)
mq_timedreceive(mqdes=283, u_msg_ptr=0x1, msg_len=0, u_msg_prio=0x5, u_abs_timeout=0x7f8c52bc3000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=283, u_msg_ptr=0x7f8c532c3000, msg_len=4, u_msg_prio=0x7f8c532c3001, u_abs_timeout=0x0) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=283, u_msg_ptr=0x7f8c52bc2000, msg_len=0x71fd, u_msg_prio=0x7f8c52bc2001, u_abs_timeout=0x7f8c52bc2009) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=283, u_msg_ptr=0x1, msg_len=1, u_msg_prio=0x7f8c52bbe000, u_abs_timeout=0x0) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=283, u_msg_ptr=0x0, msg_len=0, u_msg_prio=0x7f8c533c3000, u_abs_timeout=0x7f8c532c3000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=283, u_msg_ptr=0x7f8c52fc3000, msg_len=0x7e66d1, u_msg_prio=0x7f8c52fc3008, u_abs_timeout=0x7f8c52dc3000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=27, u_msg_ptr=0x7f8c52fc3000, msg_len=4, u_msg_prio=0x7f8c54ccc000, u_abs_timeout=0x7f8c54ccc000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=27, u_msg_ptr=0x7f8c52bbe000, msg_len=1024, u_msg_prio=0x7f8c52bbe000, u_abs_timeout=0x7f8c52bc3000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=27, u_msg_ptr=0x4, msg_len=4096, u_msg_prio=0x8, u_abs_timeout=0x8) = -1 (Bad address)
mq_timedreceive(mqdes=27, u_msg_ptr=0x8, msg_len=4, u_msg_prio=0x7f8c52bbe000, u_abs_timeout=0x7f8c531c3000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=308, u_msg_ptr=0x7f8c52bc0000, msg_len=1, u_msg_prio=0x7f8c52bc0008, u_abs_timeout=0x7f8c52bc0008) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=308, u_msg_ptr=0x0, msg_len=-9, u_msg_prio=0x8, u_abs_timeout=0x7f8c52dc3000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=308, u_msg_ptr=0x8, msg_len=1879, u_msg_prio=0x9, u_abs_timeout=0x7f8c52bc3000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=308, u_msg_ptr=0x7f8c532c3000, msg_len=0, u_msg_prio=0x7f8c532c3008, u_abs_timeout=0x7f8c532c3010) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=308, u_msg_ptr=0x0, msg_len=8, u_msg_prio=0x4, u_abs_timeout=0x7f8c531c3000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=308, u_msg_ptr=0x7f8c52bbe000, msg_len=0x2134a3, u_msg_prio=0x0, u_abs_timeout=0x0) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=333, u_msg_ptr=0x7f8c52bc0000, msg_len=4, u_msg_prio=0x0, u_abs_timeout=0x4) = -1 (Bad address)
mq_timedreceive(mqdes=333, u_msg_ptr=0x7f8c52bbe000, msg_len=1, u_msg_prio=0x7f8c54ccb000, u_abs_timeout=0x7f8c54ccb000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=333, u_msg_ptr=0x1, msg_len=0xfff8, u_msg_prio=0x1, u_abs_timeout=0x7f8c52fc3000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=333, u_msg_ptr=0x8, msg_len=16, u_msg_prio=0xc, u_abs_timeout=0x0) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=78, u_msg_ptr=0x7f8c52bc3000, msg_len=4096, u_msg_prio=0x7f8c52bc3000, u_abs_timeout=0x7f8c54ccd000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=78, u_msg_ptr=0x7f8c52bc3000, msg_len=255, u_msg_prio=0x7f8c52bc3001, u_abs_timeout=0x0) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=9, u_msg_ptr=0x0, msg_len=0x54d4c000, u_msg_prio=0x0, u_abs_timeout=0x1) = -1 (Bad address)
mq_timedreceive(mqdes=9, u_msg_ptr=0x8, msg_len=21, u_msg_prio=0x10, u_abs_timeout=0x0) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=9, u_msg_ptr=0x7f8c52bc1000, msg_len=1, u_msg_prio=0x7f8c52bc1008, u_abs_timeout=0x7f8c52dc3000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=9, u_msg_ptr=0x4, msg_len=0, u_msg_prio=0xc, u_abs_timeout=0x0) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=24, u_msg_ptr=0x1, msg_len=1, u_msg_prio=0x9, u_abs_timeout=0xa) = -1 (Bad address)
mq_timedreceive(mqdes=24, u_msg_ptr=0x8, msg_len=8, u_msg_prio=0xc, u_abs_timeout=0xc) = -1 (Bad address)
mq_timedreceive(mqdes=24, u_msg_ptr=0x7f8c52bc3000, msg_len=8, u_msg_prio=0x0, u_abs_timeout=0x7f8c52bbf000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=24, u_msg_ptr=0x1, msg_len=1, u_msg_prio=0x2, u_abs_timeout=0x2) = -1 (Bad address)
mq_timedreceive(mqdes=24, u_msg_ptr=0x7f8c52bbf000, msg_len=8, u_msg_prio=0x7f8c52bc3000, u_abs_timeout=0x7f8c52bbf000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=24, u_msg_ptr=0x0, msg_len=192, u_msg_prio=0x7f8c52dc3000, u_abs_timeout=0x7f8c52dc3000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=17, u_msg_ptr=0x1, msg_len=0xfff7, u_msg_prio=0x9, u_abs_timeout=0x7f8c52bbf000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=17, u_msg_ptr=0x7f8c52bbf000, msg_len=4096, u_msg_prio=0x7f8c52fc3000, u_abs_timeout=0x7f8c52fc3004) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=17, u_msg_ptr=0x0, msg_len=4, u_msg_prio=0x8, u_abs_timeout=0x8) = -1 (Bad address)
mq_timedreceive(mqdes=17, u_msg_ptr=0x1, msg_len=1, u_msg_prio=0x7f8c532c3000, u_abs_timeout=0x7f8c532c3001) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=17, u_msg_ptr=0x4, msg_len=0xffffff, u_msg_prio=0x7f8c52bbf000, u_abs_timeout=0x7f8c52bbf000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=290, u_msg_ptr=0x1, msg_len=4, u_msg_prio=0x7f8c52dc3000, u_abs_timeout=0x7f8c52dc3000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=290, u_msg_ptr=0x7f8c533c3000, msg_len=4096, u_msg_prio=0x0, u_abs_timeout=0x1) = -1 (Bad address)
mq_timedreceive(mqdes=290, u_msg_ptr=0x0, msg_len=4, u_msg_prio=0x7f8c52bc3000, u_abs_timeout=0x0) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=290, u_msg_ptr=0x1, msg_len=4096, u_msg_prio=0x7f8c52fc3000, u_abs_timeout=0x7f8c52bc3000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=290, u_msg_ptr=0x7f8c52fc3000, msg_len=167, u_msg_prio=0x7f8c533c3000, u_abs_timeout=0x0) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=290, u_msg_ptr=0x8, msg_len=0x74a405, u_msg_prio=0x8, u_abs_timeout=0xc) = -1 (Bad address)
mq_timedreceive(mqdes=226, u_msg_ptr=0x1, msg_len=148, u_msg_prio=0x1, u_abs_timeout=0x1) = -1 (Bad address)
mq_timedreceive(mqdes=226, u_msg_ptr=0x7f8c52dc3000, msg_len=2803, u_msg_prio=0x7f8c52dc3001, u_abs_timeout=0x7f8c52dc3000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=20, u_msg_ptr=0x8, msg_len=0xffffffffdd5d5d5d, u_msg_prio=0x7f8c52dc3000, u_abs_timeout=0x0) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=20, u_msg_ptr=0x8, msg_len=1429, u_msg_prio=0x9, u_abs_timeout=0xa) = -1 (Bad address)
mq_timedreceive(mqdes=286, u_msg_ptr=0x7efdb1650000, msg_len=4, u_msg_prio=0x7efdb1650001, u_abs_timeout=0x7efdb1650005) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=286, u_msg_ptr=0x1, msg_len=0x56565656, u_msg_prio=0x7efdb0f50000, u_abs_timeout=0x7efdb0f50000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=286, u_msg_ptr=0x7efdb1150000, msg_len=8, u_msg_prio=0x7efdb0f4f000, u_abs_timeout=0x7efdb1150000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=286, u_msg_ptr=0x7efdb0f50000, msg_len=140, u_msg_prio=0x7efdb0f50000, u_abs_timeout=0x7efdb0f50000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=286, u_msg_ptr=0x0, msg_len=8, u_msg_prio=0x4, u_abs_timeout=0x7efdb1550000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=299, u_msg_ptr=0x8, msg_len=8, u_msg_prio=0x7efdb1550000, u_abs_timeout=0x7efdb1550001) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=299, u_msg_ptr=0x4, msg_len=4, u_msg_prio=0x7efdb1150000, u_abs_timeout=0x7efdb1350000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=299, u_msg_ptr=0x7efdb305a000, msg_len=2505, u_msg_prio=0x7efdb0f50000, u_abs_timeout=0x7efdb0f50008) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=308, u_msg_ptr=0x7efdb1150000, msg_len=57, u_msg_prio=0x7efdb1150000, u_abs_timeout=0x7efdb1150000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=308, u_msg_ptr=0x0, msg_len=8, u_msg_prio=0x7efdb1550000, u_abs_timeout=0x7efdb1550000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=308, u_msg_ptr=0x4, msg_len=0x7f7f, u_msg_prio=0x7efdb0f4b000, u_abs_timeout=0x7efdb0f4c000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=308, u_msg_ptr=0x0, msg_len=4, u_msg_prio=0x4, u_abs_timeout=0x7efdb1750000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=7, u_msg_ptr=0x0, msg_len=4, u_msg_prio=0x0, u_abs_timeout=0x8) = -1 (Bad address)
mq_timedreceive(mqdes=7, u_msg_ptr=0x7efdb1650000, msg_len=0x840e40, u_msg_prio=0x0, u_abs_timeout=0x4) = -1 (Bad address)
mq_timedreceive(mqdes=7, u_msg_ptr=0x7efdb0f4c000, msg_len=110, u_msg_prio=0x7efdb0f4e000, u_abs_timeout=0x0) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=7, u_msg_ptr=0x0, msg_len=8, u_msg_prio=0x8, u_abs_timeout=0x0) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=192, u_msg_ptr=0x7efdb1150000, msg_len=1, u_msg_prio=0x7efdb1150004, u_abs_timeout=0x0) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=192, u_msg_ptr=0x7efdb0f4f000, msg_len=0, u_msg_prio=0x7efdb0f4f004, u_abs_timeout=0x7efdb0f4b000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=27, u_msg_ptr=0x0, msg_len=4, u_msg_prio=0x8, u_abs_timeout=0x10) = -1 (Bad address)
mq_timedreceive(mqdes=27, u_msg_ptr=0x7efdb305a000, msg_len=8, u_msg_prio=0x7efdb305a000, u_abs_timeout=0x7efdb305a004) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=27, u_msg_ptr=0x0, msg_len=1, u_msg_prio=0x1, u_abs_timeout=0x2) = -1 (Bad address)
mq_timedreceive(mqdes=27, u_msg_ptr=0x8, msg_len=4096, u_msg_prio=0x0, u_abs_timeout=0x8) = -1 (Bad address)
mq_timedreceive(mqdes=27, u_msg_ptr=0x1, msg_len=0, u_msg_prio=0x7efdb0f4c000, u_abs_timeout=0x7efdb0f4c008) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=27, u_msg_ptr=0x4, msg_len=4096, u_msg_prio=0x7efdb3058000, u_abs_timeout=0x7efdb1650000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=27, u_msg_ptr=0x7efdb1150000, msg_len=4, u_msg_prio=0x0, u_abs_timeout=0x8) = -1 (Bad address)
mq_timedreceive(mqdes=27, u_msg_ptr=0x7efdb3059000, msg_len=4096, u_msg_prio=0x7efdb1150000, u_abs_timeout=0x7efdb0f4c000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=27, u_msg_ptr=0x7efdb1150000, msg_len=1, u_msg_prio=0x7efdb0f50000, u_abs_timeout=0x7efdb0f50008) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=27, u_msg_ptr=0x7efdb1350000, msg_len=0x7ffeffff, u_msg_prio=0x7efdb1750000, u_abs_timeout=0x7efdb1750000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=15, u_msg_ptr=0x7efdb0f4b000, msg_len=516, u_msg_prio=0x7efdb0f4b008, u_abs_timeout=0x7efdb1550000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=15, u_msg_ptr=0x0, msg_len=0x1fffff, u_msg_prio=0x7efdb1350000, u_abs_timeout=0x7efdb1350004) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=15, u_msg_ptr=0x8, msg_len=4096, u_msg_prio=0x7efdb0f4b000, u_abs_timeout=0x7efdb1550000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=15, u_msg_ptr=0x7efdb1150000, msg_len=26, u_msg_prio=0x7efdb0f50000, u_abs_timeout=0x7efdb0f50000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=15, u_msg_ptr=0x0, msg_len=0, u_msg_prio=0x0, u_abs_timeout=0x7efdb0f4f000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=7, u_msg_ptr=0x0, msg_len=63, u_msg_prio=0x7efdb0f4b000, u_abs_timeout=0x7efdb0f4b001) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=7, u_msg_ptr=0x8, msg_len=199, u_msg_prio=0x9, u_abs_timeout=0x11) = -1 (Bad address)
mq_timedreceive(mqdes=7, u_msg_ptr=0x7efdb0f4c000, msg_len=1, u_msg_prio=0x7efdb1150000, u_abs_timeout=0x7efdb1750000) = -1 (Bad file descriptor)
mq_timedreceive(mqdes=7, u_msg_ptr=0x1, msg_len=1, u_msg_prio=0x5, u_abs_timeout=0xd) = -1 (Bad address)
