mq_timedsend(mqdes=28, u_msg_ptr=0x0, msg_len=3839, msg_prio=0x7ffb, u_abs_timeout=0x4) = -1 (Bad address)
mq_timedsend(mqdes=28, u_msg_ptr=0x7fd098f3e000, msg_len=0x5d5d5d5d, msg_prio=127, u_abs_timeout=0x7fd098f3e001) = -1 (Bad file descriptor)
mq_timedsend(mqdes=186, u_msg_ptr=0x4, msg_len=4, msg_prio=0x5ddd, u_abs_timeout=0x7fd098f3c000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=186, u_msg_ptr=0x8, msg_len=4082, msg_prio=0x7ffa, u_abs_timeout=0x10) = -1 (Bad address)
mq_timedsend(mqdes=408, u_msg_ptr=0x8, msg_len=150, msg_prio=0x7ffe, u_abs_timeout=0x9) = -1 (Bad address)
mq_timedsend(mqdes=408, u_msg_ptr=0x8, msg_len=4096, msg_prio=0x7f01, u_abs_timeout=0x9) = -1 (Bad address)
mq_timedsend(mqdes=408, u_msg_ptr=0x1, msg_len=8, msg_prio=161, u_abs_timeout=0x9) = -1 (Bad address)
mq_timedsend(mqdes=408, u_msg_ptr=0x4, msg_len=1, msg_prio=0x7d64, u_abs_timeout=0x5) = -1 (Bad address)
mq_timedsend(mqdes=408, u_msg_ptr=0x4, msg_len=0, msg_prio=159, u_abs_timeout=0x4) = -1 (Bad address)
mq_timedsend(mqdes=408, u_msg_ptr=0x7fd098f40000, msg_len=0xffec, msg_prio=41, u_abs_timeout=0x7fd098f40001) = -1 (Bad file descriptor)
mq_timedsend(mqdes=337, u_msg_ptr=0x7fd099340000, msg_len=4096, msg_prio=0, u_abs_timeout=0x7fd099740000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=26, u_msg_ptr=0x0, msg_len=159, msg_prio=10240, u_abs_timeout=0x1) = -1 (Bad address)
mq_timedsend(mqdes=388, u_msg_ptr=0x4, msg_len=254, msg_prio=0x7ffe, u_abs_timeout=0x8) = -1 (Bad address)
mq_timedsend(mqdes=388, u_msg_ptr=0x7fa113209000, msg_len=4, msg_prio=0x7ff8, u_abs_timeout=0x7fa113809000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=388, u_msg_ptr=0x4, msg_len=0xfffff6, msg_prio=0, u_abs_timeout=0x7fa115312000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=388, u_msg_ptr=0x4, msg_len=4, msg_prio=0, u_abs_timeout=0x7fa113205000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=318, u_msg_ptr=0x8, msg_len=1, msg_prio=8209, u_abs_timeout=0xc) = -1 (Bad address)
mq_timedsend(mqdes=318, u_msg_ptr=0x0, msg_len=4, msg_prio=0x7ffb, u_abs_timeout=0x0) = -1 (Bad file descriptor)
mq_timedsend(mqdes=318, u_msg_ptr=0x8, msg_len=0x733c947f, msg_prio=0x4fc4, u_abs_timeout=0x0) = -1 (Bad file descriptor)
mq_timedsend(mqdes=318, u_msg_ptr=0x4, msg_len=1, msg_prio=256, u_abs_timeout=0x7fa113209000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=318, u_msg_ptr=0x7fa113209000, msg_len=249, msg_prio=0, u_abs_timeout=0x7fa113209000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=410, u_msg_ptr=0x0, msg_len=4, msg_prio=0x4141, u_abs_timeout=0x7fa113204000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=410, u_msg_ptr=0x1, msg_len=0x7ffff000, msg_prio=46, u_abs_timeout=0x7fa113206000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=410, u_msg_ptr=0x7fa113609000, msg_len=1, msg_prio=4626, u_abs_timeout=0x7fa113609008) = -1 (Bad file descriptor)
mq_timedsend(mqdes=410, u_msg_ptr=0x4, msg_len=0x7471, msg_prio=210, u_abs_timeout=0x8) = -1 (Bad address)
